Name,About
Ryan Saghian,"Recognized as one of this era's most prominent talents, Ryan has become the go-to designer for discerning clientele and celebrities alike, who revere his raw yet refined sensibilities. As principal of his eponymous firm, Ryan’s formal education in interior design, culminating in a Bachelor’s of Science degree in Interior Architecture from The Art Institute of California, brings a depth of knowledge that enriches every project. 

He was recently named among the prestigious Andrew Martin Interior Design Review of the world’s top 100 interior designers as well as the international Luxe Deco list of the top 100 designers shaping global design. Other accolades include Interior Designer of the year by the city of Los Angeles, the Top 25 designers in LA by the Los Angeles Times, and best-selling author of his book, Unapologetically Chic. Most recently, he was awarded with the coveted Design Star on the Rise Award by the Pacific Design Center, the West Coast’s premier design source, further underlining his influence on the West Coast’s design landscape."
Nathan Turner,"Nathan is an interior designer, author and renowned event planner known for his picture perfect dinner parties! 

Nathan can advise on the following:

- interior design
- event design
- tablescape design
- wedding creative direction 

Nathan’s events, products, and designs have been featured in major national and regional publications including Architectural Digest, Domino, Vogue, Elle Decor, House Beautiful, Food & Wine, C Magazine, NY Times, & LA Times

Nathan is a regular on the Today Show and has the honor of being on Elle Decor's A-List."
Shira Gill,"Shira Gill is a world-renowned organizing expert and the bestselling author of three books: Minimalista, Organized Living, and LifeStyled. 

She’s a sought-after expert for media outlets and has been featured by Good Morning America, The Wall Street Journal, TIME, People, Forbes, goop, Architectural Digest, Oprah Daily, Vogue, and The New York Times. Her popular newsletter The Life Edit has subscribers from all 50 states and 140 countries.

In addition to sharing her home organizing expertise, Shira loves consulting on running a minimalist business, and writing, pitching, publishing, and marketing  your book."
Brooks Atwood,"Award winning designer and Netflix host of Hack My Home. Avid sailor and father.
Clients: anyone interesting. 

I’ve dedicated the last 30 years to design. I believe anything can and should be designed better. From a toilet to a skyscraper. They all matter. I graduated from Columbia with a masters degree in architecture, yet I’ve always hesitated to call myself an architect. It feels limiting.  So I let my clients decide. Some days I’m an interior designer, others an architect, on TV I’m called an “innovator.” 

I’m here in service to beauty, to design everything more thoughtfully and with a great deal of love. Working with me is like going on a psychedelic journey to the outer edges of…  I pull upon my experience as an industrial designer using alternate methods and materials to go beyond what people believe is possible. 

I don’t have a style, I care more about the vibe you want to create. Let’s dance!"
Tanya Smith-Shiflett,"As the founder of Unique Kitchens & Baths, Tanya takes pride in designing bespoke kitchens and bathrooms nationwide. Having built a radical following of over 97,000 Instagram followers in just 4 years, she has designed over 5,000 interior spaces and has collaborated with leading designers such as Lauren Liess, Zoe Feldman, Leanne Ford, Bobby Berk, Jessie Loeffler, Sara Swabb and many more. Tanya is now opening new Kitchen Design Studios in Soho New York, Nashville Tennessee, and Austin Texas, alongside her existing showrooms in Virginia, Washington DC, and Maryland.

Tanya’s work has been featured in publications including Architectural Digest, Rue, House Beautiful, Wall Street Journal, and NY Times.

Tanya is excited to now offer one on one sessions with clients to give her expert advice on how to create their bespoke space. By owning her own UKB collection, she can offer clients custom cabinetry to meet any aesthetic. 

Now offering advice on:
- floor plans and elevations
- custom cabinetry
- paint / color selections
- selecting fixtures and materials
- creative solutions 
- appliance selections 
- career advice 
- brand & IG building 

“The kitchen is the heart of the home and should be a space where you enjoy spending time with family and entertaining friends. It is my job as your kitchen designer to create a space that is timeless, functional and everlasting.” - Tanya"
Erin Gates,"Principal + Lead Designer of Erin Gates Design

Features: Oprah Magazine, InStyle, Ladies Home Journal, Better Homes & Gardens, Arch Digest, House Beautiful, Martha Stewart among others

Award Winning blog, Elements of Style

2x Author, 1x NYT Bestselling Author

**Feel free to link your floor plan layout, photos, & other info in a Dropbox folder when answering the questions after booking**

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- licensing 
-creative direction 
- blogging
- writing
- entrepreneurship
- and more!

Looking forward to helping you on your business or design journey!"
Maryah Greene,"Maryah Greene the founder of Greene Piece, a full-service plant consulting business that’s landed her the title as New York’s go-to plant stylist. 

Her work has landed her appearances and features in The New York Times, Vogue, Good Morning America and more. 

Things I can advise on: 
- plant design consultation 
- plant care tips
- repotting
- routine maintenance

I love helping others and I can’t wait to help you on your plant journey 🌱 🪴😊"
Jennifer Hunter,"Renowned Interior Designer based in New York City

Specializing in residential interior design

Jennifer’s aesthetic is described as traditional but seen through fresh eyes. It is equal parts tailored and eclectic, glamorous and relaxed, bold and subtle

Featured in: NY Times, Luxe, House Beautiful, Forbes, Wall Street Journal and more

**Feel free to link your floor plan layout, photos, & other info in a Dropbox folder when answering the questions after booking**

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- entrepreneurs hip
- and more!

Looking forward to helping you on your design project!"
Cristina Lehman,"Cristina is the founder and principal designer at C.LehmanHome. Her style is a happy mix of warm modern and California casual, mostly transitional, with a love of neutrals.

I design with function and purpose in mind and strive to make you feel joy and at ease as soon as you walk in to your home.  My superpower is great design while sticking to a budget.

Things I can advise on:
- space planning
- decorating and styling (surfaces, sofas, beds, walls etc.)
- drapery/window treatments
- fixtures, finishes and trims
- kitchen and bathroom materials
- stores and brands to consider
- career advice for aspiring designers
- and more!

I love helping new homeowners and believe that they’re at a stage where they need the most help with interior design. 

Are you ready to make your house a home? Let’s get designing!"
Sarah Weichel,"Swike Design is a Los Angeles and New York-based design studio. Inspired by modernist 20th-century design, Swike Design creates interiors that effortlessly combine the contemporary with the timeless, emphasizing the simplicity of form and a richness of texture.

Features:
Architectural Digest, Business of Home, Vogue Australia, Forbes 

Feeling lost? Here's how I can help: 

REMODELING?
1. Second opinion on floor plan and layout 
2. Reassurance / clarity on contractor bids
3. Paint colors!
4. Vendor and subcontractor recommendations 
5. Tile recommendations!
6. How to avoid Home Depot - ""Where do I find cabinet knobs""

FURNISHING? 
1. Stores and brands to consider when hunting 
2. How to ""finish your space""
3. How to recreate a space you love!
4. Window treatments
5. Scale and proportion before you make that big investment 
6. Source reveals! 
7. Budgeting 

BUSINESS?
1. Social Media and Online Video strategy 
2. TikTok strategy 
3. Female entrepreneurship
4. Advice for aspiring designers! 

A new home?? So fun! Frantic about next steps?? The worst! I'm here to help 😊"
