Name,About
Lucas Bloms,"Personal Trainer with 10+ years of experience in the fitness industry.

My comprehensive approach to fitness and nutrition will have you feeling better, both mentally and physically. 🧘🏼‍♂️

💥 Tailor customized workouts to fit your lifestyle & fitness goals 
💥 Build a personalized diet plan for weight loss or overall health 
💥 Decrease stress and optimize performance by creating efficient exercise routines that can be done during a work break 
💥 Follow Ups: I’m here to answer any questions and/or restructure your plan when you’re ready to take it to the next level! 

Looking forward to meeting you & crushing your fitness goals! 👊🏼"
Sanne Vloet,"I’m Sanne Vloet, a model, trainer and certified health coach. 

I am excited to answer your questions centered around healthy eating , fitness, pilates and everything wellness! 

1.6 million subscribers on YouTube"
Kesaine Walker,"Kesaine is an energy healer and intuitive spiritual advisor who is, above all, led by purpose.

Based in New York City, she has been trained in breathwork and integrative energy healing by Millana Snow, Founder of Wellness Official, as well as astrologers Annabel Gat (Senior Astrologer for VICE horoscopes and author of The Astrology of Love and Sex), and Samuel Reynolds (Founder of Unlock Astrology).

Kesaine's work has been featured in InStyle Magazine, Oprah Magazine, Refinery29, and Teen Vogue, among others. She is also a Wellness Provider at Omega Institute in Rhinebeck, NY, and a Breathwork and Energy Healing instructor at the Nike Well Collective."
Emma Mumford,"UK’s leading Law of Attraction expert. Award-winning life coach, 2x bestselling author, Law of Attraction YouTuber, speaker and podcast host of the #1 spirituality podcast on iTunes ‘Spiritual Queen’s Badass Podcast’. Emma’s work helps women turn their dream life into an abundant reality using the Law of Attraction and spirituality. 

✨ Specialising in the Law of Attraction, spirituality, inner work, limiting beliefs & fears and Inner Child work

📚 Bestselling author of Spiritual Queen and Positively Wealthy

👑 Fully insured and certified…
      • Advanced Law of Attraction      
         Practitioner 
      • Inner Child Healing Practitioner 
      • Life Coach Diploma 
      • EFT Practitioner
      • Emotional Healing Coach 

🎥 As seen on ITV’s ‘This Morning’, BBC, ITV, Breathe Magazine, Metro, Women’s Health, Natural Health Magazine, Soul & Spirit Magazine, Kindred Spirit and Spirit & Destiny Magazine 

💖 Over 650+ hours of coaching and followed by over 205k followers worldwide 

We can cover any questions or queries relating to the Law of Attraction, spirituality or inner work (limiting beliefs and fears) to clear the way to abundance for you!"
Natalie Holbrook,"🪩ASTROLOGY FOR SALES x BUSINESS MENTORING🪩

This bespoke offering is now available to share with the world. 

Remember JP Morgan said, “Millionaires don’t use astrology. Billionaires do”

👑Comment MASTERCLASS to sign up!!

I am here to teach you how I’ve used astrology for making nearly half a million dollars over the last 4 years: the sales skills, business acumen and how the language of astrology has changed the way I have clarity/confidence, manifest ideal clients, grow my socials, fill my events, get my messaging and branding on point, and importantly, feel SO aligned and on purpose with my mission. 

It was all by using these secrets that we’ll unlock in your chart together. 

If you are a purpose-driven entrepreneur, this reading is for you. 

We’ll be going into SO much. But here’s a little of my cred in case you don’t know the background! 

Five years ago, I began syncing my work with Astrology and it changed everything for me:

💎 I was able generate $77,000 within my first ever launch.

💎 I booked 50 sales calls during that first launch and was able to work (aka “close”) with 90% of them. 

💎 I was the first employee + sales coach at a start up & scaled their biz from 1 > 3 million$ in sales that year.

💎 I sold out a magical retreat in Joshua Tree using transits and planetary gifts.

💎 When I look back at my 15 years of experience in working in various positions in sales: nightlife, events, marketing, entrepreneurship, I realized I was always living in alignment, but I could have taken advantage of it so much more.

I’m here to teach and share the magic! See you next week babes! 🌙🪩💎"
Elissa Goodman,"Elissa Goodman is a Holistic Nutritionist and Lifestyle Cleanse Expert

Celebrity Cleanse clients: Maria Menounos, Christina Applegate, Matt Bomer, Poppy Montgomery, Kyle Richards

Elissa was diagnosed with cancer at 32 years old and sadly her husband Marc lost his battle to cancer early in his life. To further complicate matters, she was also diagnosed with Celiac and Hashimoto’s. Elissa educated herself about how to heal using mostly holistic modalities and was able to do just that. Elissa was able to implement her knowledge in holistic wellness to overcome all of her illnesses and today she is more than thriving

Fast forward a number of years and Elissa has helped thousands of clients manage their own health issues. She has created the popular 5-day SOUP cleanse in Los Angeles, which sells out every week it is offered, as well as her popular online 7-Day RESET cleanse. Her Super Seed Bars from the SOUP Cleanse are now being sold online nationwide and they have received immense positive praise

Featured on GOOP, Huffington Post, ABC, NBC, E! News, Well & Good, Chalkboard, The Daily Mail and more

Elissa is the author of the Best Selling “Cancer Hacks” and she is currently working on her second book called, “Autoimmune Hacks”"
Dr. Paria Vaziri,"Naturopathic doctor in San Diego 

Medical advisor for Lemme and Marea Wellness

* Disclaimer: Sessions do not offer medical advice, only health consulting."
Iskra Lawrence,"The worlds first mid-size super model on a mission to empower women and help create and nurture brands to do the same

Founder of Saltair + CEO of Self Funding

Investor in OxeFit, Andie swim, Public app 

I can help you:
- Build a personal brand with purpose 
- Use social media to grow your business
- Leverage the power of a platform to create positive change 
- Break into the Modeling industry
- Self Confidence
- Body Image  
- Brand Partnerships (How to secure them and what to charge)
- DTC start ups 
- Getting to 7 figures in year one of your business
- Create a marketing plan for yourself and your brand
- Balance mom life with career goals

So that you can create the change you hope to see

I love paying it forward as I’ve had so many mentors who I wouldn’t be here without. So I can’t wait to help you on your personal growth and business journey!"
Sonya Denyse,"Do you know that nagging feeling from the gap between where you are and where you want to be?  

You know what you want and why you want it, but the path forward is uncertain. It is often filled with anxiety, fear, and regret. 

But what if that gap was your greatest opportunity? 

A chance for you to ask questions you've never considered?  A chance to challenge yourself in ways you never thought of? What if you could end up living a life beyond your wildest dreams? 

You’ve just seen one of my superpowers in action. Where others see problems, I see possibilities. It’s more than just a change in perspective; the DreamDevelopment process is a way forward. 

There are no formulas or prescriptions, and one size does not fit all.  This Intro session will meet you where you are and help you get one degree closer to where you need to be.

Your dream strategy session will answer one simple question: How can you put your dreams into action? 

About DreamDevelopment 

DreamDevelopment offers consulting and coaching services to enable dreamers to design, fund, and execute their dreams. With more than 15 years of experience, we have helped individuals and institutions turn their dreams into reality. Clientele hail from the public and private sectors, ranging from female founders and small business owners to start-ups, from award-winning creatives and notable authors to captivating TED Talkers, from entertainment executives and social entrepreneurs to agencies. 

No matter the dream, clients are bonded by the hunger to harness their potential."
Kayleigh Christina,"Co-Founder & COO of CLEARSTEM Skincare, Seed Investor, and Podcast Connector Advisor.

Kayleigh was recently interviewed on The Skinny Confidential Podcast & featured in Forbes & Entrepreneur. 

CLEARSTEM Skincare is the revolutionary skincare brand that created the anti-aging + anti-acne + non-toxic category. Anti-acne products age you, anti-aging products cause acne, that’s why CLEARSTEM was created. The brand has won multiple beauty & innovation awards and is one of the fastest growing skincare companies in the US.

CLEARSTEM takes a unique approach by building a brand not only focused on products but also education around holistic skin health and whole-body-wellness. They have build out an extensive skincare learning center & acne protocol for their consumers.

Kayleigh also invests in wellness-based consumer facing brands with a portfolio that includes Chubby Snacks, Toto, Vizer App, Sow Good, and more. 

Ask me about: 
- brand
- startups 
- building without raising capital
- co-founder therapy 
- growth marketing
- influencer & ambassador programs
- podcast marketing 
- how to get booked on podcasts 
-DTC (direct to consumer brands)
- e-commerce  
- CPG (container packaged goods)
- formulation 
- press 

“I love to pay it forward to people following their passion and building brands”"
